scenario_id,detected_kpi,kpi_change_percent,top_driver,top_driver_score,top_driver_status,top_driver_confidence,top3_drivers,overall_status
S001,gross_sales,0.7410436320502226,DRIVER_06_CUSTOMER,4.5,WEAK,LOW,DRIVER_06_CUSTOMER,NOT_ESTABLISHED
S002,gross_sales,0.21863781693161283,DRIVER_06_CUSTOMER,4.5,WEAK,LOW,"DRIVER_06_CUSTOMER,DRIVER_04_RETURNS",NOT_ESTABLISHED
S003,gross_sales,0.2286036007460665,DRIVER_05_SUPPORT,7.5,STRONGLY_SUPPORTED,HIGH,"DRIVER_05_SUPPORT,DRIVER_08_PRODUCT_MIX,DRIVER_06_CUSTOMER",STRONGLY_SUPPORTED
S004,gross_sales,0.2286036007460665,DRIVER_05_SUPPORT,7.5,STRONGLY_SUPPORTED,HIGH,"DRIVER_05_SUPPORT,DRIVER_08_PRODUCT_MIX,DRIVER_06_CUSTOMER",STRONGLY_SUPPORTED
S005,gross_sales,-0.03669490508031111,DRIVER_02_PRICING,2.5,WEAK,LOW,"DRIVER_02_PRICING,DRIVER_06_CUSTOMER,DRIVER_08_PRODUCT_MIX",NOT_ESTABLISHED
S006,gross_sales,-0.05368400192576815,DRIVER_05_SUPPORT,9.5,STRONGLY_SUPPORTED,HIGH,DRIVER_05_SUPPORT,STRONGLY_SUPPORTED
S007,gross_sales,-0.10639276927847846,DRIVER_05_SUPPORT,9.5,STRONGLY_SUPPORTED,HIGH,"DRIVER_05_SUPPORT,DRIVER_02_PRICING,DRIVER_06_CUSTOMER",STRONGLY_SUPPORTED
S008,gross_sales,-0.08159500747123179,DRIVER_02_PRICING,4.5,WEAK,LOW,"DRIVER_02_PRICING,DRIVER_06_CUSTOMER",NOT_ESTABLISHED
