scenario_id,kpi,current_value,previous_value,baseline_value,top_driver,top_driver_score,top_driver_status,top3_drivers,established_driver,overall_status,supporting_source_count,outcome_evidence_count,supporting_evidence_count,contradictory_evidence_count,temporal_alignment,expected_established_driver,expected_status,top1_hypothesis_correct,top3_hypothesis_contains_expected,established_driver_correct,status_correct,reciprocal_rank
S001,gross_sales,648.44,14966.42,18390.77,DRIVER_03_MARKETING,6.0,PLAUSIBLE,"DRIVER_03_MARKETING,DRIVER_04_RETURNS,DRIVER_06_CUSTOMER",DRIVER_03_MARKETING,PLAUSIBLE,1,1,2,0,DURING,DRIVER_04_RETURNS,STRONGLY_SUPPORTED,False,True,False,False,0.5
S002,gross_sales,2407142.7600000002,5909834.129999999,4725995.526666666,DRIVER_05_SUPPORT,9.0,STRONGLY_SUPPORTED,"DRIVER_05_SUPPORT,DRIVER_06_CUSTOMER,DRIVER_08_PRODUCT_MIX",DRIVER_05_SUPPORT,STRONGLY_SUPPORTED,2,1,4,0,DURING,DRIVER_06_CUSTOMER,STRONGLY_SUPPORTED,False,True,False,True,0.5
S003,gross_sales,994.25,7009.6,3558.0333333333333,DRIVER_03_MARKETING,6.0,PLAUSIBLE,"DRIVER_03_MARKETING,DRIVER_04_RETURNS,DRIVER_08_PRODUCT_MIX",DRIVER_03_MARKETING,PLAUSIBLE,1,1,2,0,DURING,DRIVER_03_MARKETING,STRONGLY_SUPPORTED,True,True,True,False,1.0
S004,gross_sales,178.34,10399.8,4457.13,DRIVER_02_PRICING,6.0,PLAUSIBLE,"DRIVER_02_PRICING,DRIVER_04_RETURNS,DRIVER_01_INVENTORY",DRIVER_02_PRICING,PLAUSIBLE,1,1,1,0,DURING,DRIVER_02_PRICING,PLAUSIBLE,True,True,True,True,1.0
S005,gross_sales,51834.59,415600.68,495873.55,DRIVER_05_SUPPORT,7.0,STRONGLY_SUPPORTED,"DRIVER_05_SUPPORT,DRIVER_06_CUSTOMER,DRIVER_08_PRODUCT_MIX",DRIVER_05_SUPPORT,STRONGLY_SUPPORTED,2,1,5,0,DURING,DRIVER_05_SUPPORT,PLAUSIBLE,True,True,True,False,1.0
S006,gross_sales,82550.33,689296.4600000001,787406.6866666666,DRIVER_06_CUSTOMER,2.0,NOT_ESTABLISHED,"DRIVER_06_CUSTOMER,DRIVER_08_PRODUCT_MIX,DRIVER_01_INVENTORY",,NOT_ESTABLISHED,1,1,1,0,DURING,DRIVER_08_PRODUCT_MIX,PLAUSIBLE,False,True,False,False,0.5
S007,category_share,0.11541221276288442,0.25689291654871893,0.21656916187619535,DRIVER_04_RETURNS,4.0,PLAUSIBLE,"DRIVER_04_RETURNS,DRIVER_08_PRODUCT_MIX,DRIVER_01_INVENTORY",DRIVER_04_RETURNS,PLAUSIBLE,1,1,1,0,DURING,DRIVER_08_PRODUCT_MIX,STRONGLY_SUPPORTED,False,True,False,False,0.5
S008,gross_sales,38357.61,313953.80000000005,423842.73666666663,DRIVER_06_CUSTOMER,1.0,NOT_ESTABLISHED,"DRIVER_06_CUSTOMER,DRIVER_08_PRODUCT_MIX,DRIVER_01_INVENTORY",,NOT_ESTABLISHED,1,1,1,0,DURING,,NOT_ESTABLISHED,True,True,True,True,
