scenario_id,kpi,current_value,previous_value,baseline_value,top_driver,top_driver_score,top_driver_status,top3_drivers,supporting_source_count,outcome_evidence_count,supporting_evidence_count,contradictory_evidence_count,temporal_alignment,expected_driver,top1_correct,top3_contains_expected,status_correct
S001,gross_sales,648.44,14966.42,18390.77,DRIVER_03_MARKETING,6.0,PLAUSIBLE,"DRIVER_03_MARKETING,DRIVER_04_RETURNS,DRIVER_06_CUSTOMER",1,1,2,0,DURING,DRIVER_04_RETURNS,False,True,False
S002,gross_sales,2407142.7600000002,5909834.129999999,4725995.526666666,DRIVER_05_SUPPORT,9.0,STRONGLY_SUPPORTED,"DRIVER_05_SUPPORT,DRIVER_06_CUSTOMER,DRIVER_08_PRODUCT_MIX",2,1,4,0,DURING,DRIVER_06_CUSTOMER,False,True,True
S003,gross_sales,994.25,7009.6,3558.0333333333333,DRIVER_03_MARKETING,6.0,PLAUSIBLE,"DRIVER_03_MARKETING,DRIVER_04_RETURNS,DRIVER_08_PRODUCT_MIX",1,1,2,0,DURING,DRIVER_03_MARKETING,True,True,False
S004,gross_sales,178.34,10399.8,4457.13,DRIVER_02_PRICING,6.0,PLAUSIBLE,"DRIVER_02_PRICING,DRIVER_04_RETURNS,DRIVER_01_INVENTORY",1,1,1,0,DURING,DRIVER_02_PRICING,True,True,True
S005,gross_sales,51834.59,415600.68,495873.55,DRIVER_05_SUPPORT,7.0,STRONGLY_SUPPORTED,"DRIVER_05_SUPPORT,DRIVER_06_CUSTOMER,DRIVER_08_PRODUCT_MIX",2,1,5,0,DURING,DRIVER_05_SUPPORT,True,True,False
S006,gross_sales,82550.33,689296.4600000001,787406.6866666666,DRIVER_06_CUSTOMER,2.0,NOT_ESTABLISHED,"DRIVER_06_CUSTOMER,DRIVER_08_PRODUCT_MIX,DRIVER_01_INVENTORY",1,1,1,0,DURING,DRIVER_08_PRODUCT_MIX,False,True,False
S007,category_share,0.11541221276288442,0.25689291654871893,0.21656916187619535,DRIVER_04_RETURNS,4.0,PLAUSIBLE,"DRIVER_04_RETURNS,DRIVER_08_PRODUCT_MIX,DRIVER_01_INVENTORY",1,1,1,0,DURING,DRIVER_08_PRODUCT_MIX,False,True,False
S008,gross_sales,38357.61,313953.80000000005,423842.73666666663,DRIVER_06_CUSTOMER,1.0,NOT_ESTABLISHED,"DRIVER_06_CUSTOMER,DRIVER_08_PRODUCT_MIX,DRIVER_01_INVENTORY",1,1,1,0,DURING,NOT_ESTABLISHED,False,False,True
