scenario_id,market_scope,expected_driver,expected_status,phase3a_top1,phase3b_top1,phase3a_status,phase3b_status,phase3a_rank_of_expected,phase3b_rank_of_expected,phase3a_mrr,phase3b_mrr,evidence_grounding_rate,unsupported_claim_rate,evidence_cited,evidence_ids_count,source_datasets,unsupported_claims_count,contradictions_count,uncertainty_correct,validation_result,fallback_used,classification,phase3a_top1_correct,phase3b_top1_correct,phase3a_est_correct,phase3b_est_correct,phase3a_top3_contains,phase3b_top3_contains,phase3a_status_correct,phase3b_status_correct,phase3a_rr_val,phase3b_rr_val
S001,South Korea / A6519160401,DRIVER_04_RETURNS,STRONGLY_SUPPORTED,DRIVER_03_MARKETING,DRIVER_03_MARKETING,PLAUSIBLE,PLAUSIBLE,2,2,0.5,0.5,1.0,0.0,"EVD-002,EVD-003",2,fact_marketing_monthly,0,0,True,PASSED,False,UNCHANGED,False,False,False,False,True,True,False,False,0.5,0.5
S002,South Korea / All Prods,DRIVER_06_CUSTOMER,STRONGLY_SUPPORTED,DRIVER_05_SUPPORT,DRIVER_05_SUPPORT,STRONGLY_SUPPORTED,STRONGLY_SUPPORTED,2,2,0.5,0.5,1.0,0.0,"EVD-002,EVD-003,EVD-004,EVD-005",4,"fact_crm_notes,fact_support_tickets",0,0,True,PASSED,False,UNCHANGED,False,False,False,False,True,True,True,True,0.5,0.5
S003,China / A2520150501,DRIVER_03_MARKETING,STRONGLY_SUPPORTED,DRIVER_03_MARKETING,DRIVER_03_MARKETING,PLAUSIBLE,PLAUSIBLE,1,1,1.0,1.0,1.0,0.0,"EVD-002,EVD-003",2,fact_marketing_monthly,0,0,True,PASSED,False,UNCHANGED,True,True,True,True,True,True,False,False,1.0,1.0
S004,China / A0621150308,DRIVER_02_PRICING,PLAUSIBLE,DRIVER_02_PRICING,DRIVER_02_PRICING,PLAUSIBLE,PLAUSIBLE,1,1,1.0,1.0,1.0,0.0,EVD-002,1,fact_competitor_pricing_monthly,0,0,True,PASSED,False,UNCHANGED,True,True,True,True,True,True,True,True,1.0,1.0
S005,Indonesia / All Prods,DRIVER_05_SUPPORT,PLAUSIBLE,DRIVER_05_SUPPORT,DRIVER_05_SUPPORT,STRONGLY_SUPPORTED,STRONGLY_SUPPORTED,1,1,1.0,1.0,1.0,0.0,"EVD-002,EVD-003,EVD-004,EVD-005,EVD-006",5,"fact_crm_notes,fact_support_tickets",0,0,True,PASSED,False,UNCHANGED,True,True,True,True,True,True,False,False,1.0,1.0
S006,India / Processors,DRIVER_08_PRODUCT_MIX,PLAUSIBLE,DRIVER_06_CUSTOMER,None,NOT_ESTABLISHED,NOT_ESTABLISHED,2,2,0.5,0.5,1.0,0.0,"EVD-001,EVD-002",2,fact_sales_monthly,0,0,True,PASSED,False,UNCHANGED,False,False,False,False,True,True,False,False,0.5,0.5
S007,Portugal / Wi fi extender,DRIVER_08_PRODUCT_MIX,STRONGLY_SUPPORTED,DRIVER_04_RETURNS,DRIVER_04_RETURNS,PLAUSIBLE,PLAUSIBLE,2,2,0.5,0.5,1.0,0.0,EVD-002,1,fact_sales_monthly,0,0,True,PASSED,False,UNCHANGED,False,False,False,False,True,True,False,False,0.5,0.5
S008,Germany / All Prods,None,NOT_ESTABLISHED,DRIVER_06_CUSTOMER,None,NOT_ESTABLISHED,NOT_ESTABLISHED,N/A,N/A,N/A,N/A,1.0,0.0,"EVD-001,EVD-002",2,fact_sales_monthly,0,0,True,PASSED,False,UNCHANGED,True,True,True,True,True,True,True,True,,
